"Model","Accuracy","Precision","Recall","F1","AUC"
"Logistic Regression",0.971,0.702702702702703,0.254901960784314,0.37410071942446,0.927620806776817
"Random Forest",0.985666666666667,0.883116883116883,0.666666666666667,0.759776536312849,0.960725111300559
